match_id,date,optimal_points,optimal_roster
1491904,2025-07-22,776.0,"Mahedi Hasan, Abbas Afridi, Faheem Ashraf, Shoriful Islam, Salman Mirza, Ahmed Daniyal, Jaker Ali, Tanzim Hasan Sakib, Rishad Hossain, Mohammad Nawaz, Mustafizur Rahman"
1527687,2026-04-08,776.0,"KL Rahul, Shubman Gill, JC Buttler, M Prasidh Krishna, Rashid Khan, Washington Sundar, DA Miller, P Nissanka, Mohammed Siraj, Mukesh Kumar, Kuldeep Yadav"
548355,2012-05-06,776.0,"DJ Bravo, SL Malinga, SR Tendulkar, RP Singh, RG Sharma, RA Jadeja, M Vijay, SK Raina, BW Hilfenhaus, MS Dhoni, DR Smith"
548318,2012-04-12,776.0,"DE Bollinger, F du Plessis, CH Gayle, JA Morkel, M Muralitharan, V Kohli, MA Agarwal, RA Jadeja, MS Dhoni, DJ Bravo, R Vinay Kumar"
1317486,2022-10-09,776.0,"AD Hales, JC Buttler, DA Warner, MA Wood, NT Ellis, MP Stoinis, SM Curran, AU Rashid, RJW Topley, MR Marsh, DR Sams"
336019,2008-05-28,775.0,"SE Marsh, JR Hopes, YK Pathan, PP Chawla, NK Patel, SR Watson, Yuvraj Singh, Kamran Akmal, M Rawat, IK Pathan, S Sreesanth"
1533387,2026-05-02,775.0,"Karanbir Singh, Aqib Iqbal, H Singh, Waqar Zalmai, Bilal Zalmai, Fayaz Khan, JD Bhatt, Nooruddin Mujadady, Sajid Liaqat, Muslim Yar, Shahid Afridi"
953105,2016-01-31,774.0,"Tanwir Afzal, KJ Coetzer, RD Berrington, Haseeb Amjad, BTJ Wheal, Nadeem Ahmed, MRJ Watt, SM Sharif, Aizaz Khan, MH Cross, Anshuman Rath"
1348641,2023-01-05,774.0,"AR Patel, MD Shanaka, Umran Malik, BKG Mendis, SA Yadav, KIC Asalanka, CAK Rajitha, D Madushanka, P Nissanka, Shivam Mavi, C Karunaratne"
1216542,2020-10-08,774.0,"JM Bairstow, N Pooran, Ravi Bishnoi, KK Ahmed, Rashid Khan, T Natarajan, DA Warner, Arshdeep Singh, Abhishek Sharma, KS Williamson, Mohammed Shami"
1187668,2019-11-08,774.0,"DJ Malan, EJG Morgan, MW Parkinson, TG Southee, MJ Santner, CJ Jordan, SM Curran, T Banton, MJ Guptill, C Munro, PR Brown"
