player_name,batting_proj,total_runs,batting_strike_rate,bowling_proj,wickets_taken,economy_rate,projected_fantasy_points,role,credits
O Prendergast,295.8,290.0,123.40425531914892,207.71484,9.0,5.317535545023697,503.51484000000005,AR,8.5
OU Ranasinghe,27.54,27.0,33.75,296.86284,13.0,6.401574803149606,324.40284,BOWL,8.5
P Litchfield,197.88,184.0,130.49645390070924,0.0,0.0,0.0,197.88,BAT,8.5
P Molkenboer,76.5,75.0,92.5925925925926,0.0,0.0,0.0,76.5,BAT,8.5
P Rawat,13.26,3.0,150.0,0.0,0.0,9.230769230769232,13.26,BAT,8.5
P Vastrakar,21.42,21.0,116.66666666666669,73.99284,3.0,6.699029126213592,95.41284,BOWL,8.5
PA Chatterji,39.78,39.0,82.97872340425532,44.574000000000005,2.0,9.428571428571429,84.35400000000001,BOWL,8.5
PG Raut,96.9,95.0,96.93877551020408,0.0,0.0,0.0,96.9,BAT,8.5
PM Weerakkody,62.22,61.0,84.72222222222221,0.0,0.0,0.0,62.22,BAT,8.5
PN Sproul,27.54,27.0,117.3913043478261,0.0,0.0,0.0,27.54,BAT,8.5
PRCS Kumarihami,34.68,34.0,66.66666666666666,73.99284,3.0,6.264705882352941,108.67284000000001,BOWL,8.5
Panna Ghosh,13.26,13.0,48.14814814814815,230.00184,10.0,6.25,243.26183999999998,BOWL,8.5
Poonam Yadav,9.18,9.0,60.0,698.02884,31.0,5.470167064439141,707.2088399999999,BOWL,8.5
